usrname,七夕超火,超级火箭,七夕火箭,火箭,七夕飞机,飞机,七夕办卡,办卡,金锄头,冰棍,小飞碟,鹊桥飞星,F4,有排面,七夕鹊羽,打call,帐篷,好人卡,没排面,药丸,赞,总计
我是小可爱呀QAQ,,16000.0,5000.0,2000.0,5000.0,,,,7326.0,,7.0,,,,,,,169.99999999999463,,,,35502.99999999999
元气满满少女睫,2000.0,6000.0,10500.0,10500.0,,4300.0,,,594.0,,,,,,,,,,,,,33894.0
睫妹,,24000.0,,3000.0,,600.0,,,6.0,,2.0,,0.6,,,,0.4,,,,,27609.0
一个睫,,10000.0,,12000.0,,3100.0,,,,4.0,,,,,,4.600000000000001,,,,,,25108.6
是你的睫宝贝呀w,4000.0,2000.0,4000.0,11000.0,500.0,400.0,6.0,,,,26.0,,,,,1.5999999999999999,,,,,1.8000000000000005,21935.399999999998
户外黑粉丶工厂恶霸,2000.0,10000.0,1000.0,1500.0,,,,,2298.0,,5.0,,,,,,,170.09999999999462,,,,16973.099999999995
户外汪汪队丶小宝贝儿,2000.0,2000.0,2500.0,1000.0,3600.0,2400.0,,,,,10.0,,,,,,,,,,,13510.0
幸运稻田,,6000.0,,6500.0,,,,,,,,,,,,,,,,,,12500.0
Hskelter,,,1000.0,7500.0,,1700.0,,288.0,792.0,5.0,61.0,,51.00000000000008,,,4.000000000000001,,19.0,,,3.800000000000002,11423.8
無情無奕,,6000.0,500.0,3500.0,,300.0,,,,,,,,,,,,,,,,10300.0
绝对灵光,,4000.0,1000.0,4000.0,,1100.0,,,,,,1.0,,,,,,108.6999999999981,,,,10209.699999999999
BET中中中,,,,5000.0,,,,,3108.0,,,,,,,,,,,,,8108.0
F4丶与声音跳舞,,2000.0,,3000.0,,2300.0,,,,,6.0,,,,,,,,,,,7306.0
我在这来追我呀,,2000.0,1000.0,2000.0,,2200.0,,,,,,,,,,,,2.0000000000000004,,,,7202.0
可爱睫QAQ,,4000.0,,1500.0,,600.0,,,594.0,,1.0,,,,,,,,,,,6695.0
利物浦不是冠军丶,,,,1000.0,,5500.0,,,30.0,,,,,,,,,128.79999999999697,,,,6658.7999999999965
百变姑姑肖淑洁,,,,5500.0,,400.0,,120.0,360.0,,,,19.800000000000004,,,,,8.799999999999985,,,,6408.6
我的二QAQ,,4000.0,,1500.0,,500.0,,,60.0,,,,,,,,,,,,,6060.0
户外黑粉丶真的小忧,,2000.0,,2500.0,,,,,1032.0,,1.0,,,,,,,,,,,5533.0
锦衣卫丶一拳就瞎,,2000.0,,1000.0,200.0,1200.0,,,198.0,,1.0,,199.79999999999882,,,,,,,,435.5000000000305,5234.30000000003
刘教授007,,,,2000.0,600.0,2400.0,,66.0,,,,,,,,,,26.600000000000108,,,,5092.6
骑着蜗牛去看鱼,,2000.0,,3000.0,,,,,18.0,,,,,,,,,,,,,5018.0
易晓宝贝的下雨天,,,,3500.0,,1200.0,,,,,,,89.99999999999986,,,,,197.99999999999304,,,,4987.999999999993
Yo丶妮儿的香蕉姐姐,,2000.0,,2500.0,,100.0,,,90.0,,,,29.400000000000027,,,,,,,,0.9999999999999999,4720.4
户外黑粉丶嘟嘟小姨粉,,2000.0,,500.0,,2100.0,,,,,,,,,,,,,,,,4600.0
YuHanbaby丶,,,,4000.0,,500.0,,,,,,,,,,,,,,,,4500.0
美少女战士丶小宝贝儿,,,500.0,2500.0,,1200.0,,,,,,,1.7999999999999998,,,,0.2,,,,,4202.0
请你叫我小Z,,,,3000.0,,700.0,,,162.0,,19.0,,44.40000000000006,,,13.599999999999984,,54.90000000000051,,,8.299999999999986,4002.2000000000007
尼古拉斯看打野,,4000.0,,,,,,,,,,,,,,,,,,,,4000.0
F4丶山里人,,,,1500.0,,1200.0,6.0,,1224.0,,,1.0,0.6,,,,,38.400000000000276,,,,3970.0
大雄家的皮孩子丶,,,,2500.0,,700.0,,,72.0,,4.0,,1.7999999999999998,,,,,170.09999999999462,,,,3447.8999999999946
F4丶真风凉帆,,,500.0,1500.0,,800.0,,,546.0,,8.0,,11.999999999999996,,,0.2,,34.00000000000021,,,,3400.2
一枝红杏出墙来n,,,,,300.0,2800.0,,,36.0,,,,2.4,,,,,5.299999999999997,,,46.20000000000039,3189.9000000000005
户外黑粉丶维埃里1908,,,,1000.0,,,,,1884.0,,4.0,,,,,,,99.9999999999986,,,,2987.9999999999986
你要吃趣多多吗,,,,1500.0,,1000.0,,,6.0,,10.0,,,,,,,,,,,2516.0
F4丶晓彬,,,,1000.0,,1400.0,,,12.0,,1.0,,49.800000000000075,,,,0.2,45.50000000000038,,,,2508.5000000000005
自闭睫,,,,,2400.0,,,,,,,,,,,,,,,,,2400.0
